country,dish,link,image,main_ingredients
Serbia,Proja,/wiki/Proja,,"Corn flour, baking powder, oil, mineral water"
Serbia,Kajmak,/wiki/Kajmak,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Poljorad_domaci_kajmak.jpg/250px-Poljorad_domaci_kajmak.jpg,Milk (cow or water buffalo)
Serbia,Serbian cuisine,/wiki/Serbian_cuisine,,
Slovakia,Bryndzové halušky,/wiki/Bryndzov%C3%A9_halu%C5%A1ky,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Bryndzov%C3%A9_halu%C5%A1ky_so_slaninou.jpg/250px-Bryndzov%C3%A9_halu%C5%A1ky_so_slaninou.jpg,"Halušky, bryndza"
Singapore,Chilli crab,/wiki/Chilli_crab,,
Singapore,Hainanese Chicken Rice,/wiki/Hainanese_Chicken_Rice,http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Hainanese_Chicken_Rice.jpg/230px-Hainanese_Chicken_Rice.jpg,
South Africa,Bobotie,/wiki/Bobotie,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bobotie-01.jpg/200px-Bobotie-01.jpg,Minced meat
South Korea,Bulgogi,/wiki/Bulgogi,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Korean.food-Bulgogi-02.jpg/220px-Korean.food-Bulgogi-02.jpg,
South Korea,kimchi,/wiki/Kimchi,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gimchi.jpg/220px-Gimchi.jpg,
Spain,Paella,/wiki/Paella,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Red_paella_with_mussels.jpg/300px-Red_paella_with_mussels.jpg,"White rice, chicken, sausage, rabbit, vegetables, seafood"
Spain,tortilla española,/wiki/Tortilla_espa%C3%B1ola,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Tortilla-de-patatas.jpg/250px-Tortilla-de-patatas.jpg,"Egg, potatoes and onions."
Sri Lanka,Rice and curry,/wiki/Rice_and_curry,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/SL-rice_and_curry.jpg/250px-SL-rice_and_curry.jpg,"Rice or kiribath, vegetable or meat curry, spices (chili peppers, cardamom, cumin, coriander)"
Sudan,Ful medames,/wiki/Ful_medames,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ful.jpg/250px-Ful.jpg,"Fava beans, vegetable oil, cumin"
Sweden,Köttbullar,/wiki/Meatball,,
Sweden,Kräftskiva,/wiki/Crayfish_party,,
Sweden,Surströmming,/wiki/Surstr%C3%B6mming,,
Sweden,ostkaka,/wiki/Ostkaka,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ostkaka.jpg/250px-Ostkaka.jpg,"Rennet, milk, cream, sugar, eggs, almonds, bitter almonds"
Switzerland,Cervelat,/wiki/Cervelat,,
