China,Changde,HN,275195,759262,846308
China,Changsha (incl. Wangcheng),HN,1151155,2233790,3193354
China,Changshu,JS,146490,565178,929124
China,Changzhou (incl. Wujin),JS,525085,1513152,2257376
China,Chaozhou (incl. Chao'an),GD,333390,708368,1256268
China,Chengdu (incl. Xindu) [Chengtu],SC,1866826,4273218,6316922
China,Chifeng (Ulanhadhot),NM,345035,692267,902285
China,"Chongqing (incl. Ba'nan, Jiangbei) [Chungking]",CQ,2518721,4912732,6263790
China,Cixi,ZJ,207178,675727,1059942
China,Dalian [Dairen],LN,1884310,2872048,3902467
China,Dandong,LN,543027,684190,775787
China,Daqing,HL,756444,1094892,1433698
China,Datong,SX,917288,1053616,1362314
China,Dongguan,GD,552328,3870036,7271322
China,Dongying,SD,394996,638035,848958
China,"Foshan (incl. Gaoming, Nanhai, Sanshui, Shunde)",GD,901455,4006681,6771895
China,Fushun,LN,1288959,1359873,1318808
China,Fuxin,LN,600124,669355,750283
China,Fuyang,AH,142170,742862,780522
China,Fuzhou,FJ,875173,2032723,2824414
China,"Guangzhou (incl. Huade, Panyu) [Canton]",GD,3336361,7547467,9702144
China,Guilin (incl. Lingui),GX,424373,814246,963629
China,Guiyang,GZ,1079652,1894344,2520061
China,Haikou (incl. Qiongshan),HI,411212,1028724,1517410
China,Handan,HEB,525391,822387,919295
China,"Hangzhou (incl. Xiaoshan, Yuhang) [Hangchou]",ZJ,1654923,3240947,5162093
China,Harbin (incl. Hulan),HL,2690391,3627082,4596313
China,Hefei [Hofei],AH,714242,1549476,3098727
China,Hengyang,HN,503725,804818,1115645
China,Hohhot (Huhehaote) [Huhehot],NM,634514,1020152,1497110
China,Huai'an (Huaiyin),JS,330379,842628,1523655
China,Huaibei,AH,290390,632592,854696
China,Huainan,AH,724157,1062430,1238488
China,Huizhou (incl. Huiyang),GD,302636,1057659,1807858
China,Jiangmen (incl. Xinhui),GD,379397,876531,1480023
China,Jiangyin,JS,129544,555454,1013670
China,Jiaxing,ZJ,209898,451443,762643
China,Jieyang (incl. Jiedong),GD,176421,936485,1226848
China,Jilin,JL,1090329,1448434,1469722
China,Jinan,SD,1437596,2795070,3527566
China,"Jingzhou (incl. Jiangling, Shashi)",HB,457286,784584,904157
China,Jining,SD,183063,882894,939034
China,Jinjiang,FJ,97990,480433,1172827
China,Jinzhou,LN,591653,776628,946098
China,Kunming (incl. Chenggong),YN,1114413,2587824,3278777
China,Kunshan,JS,96625,434429,1118617
China,Lanzhou,GS,1289756,1914163,2438595
China,Lianyungang,JS,344244,576477,897393
China,Linyi,SD,260558,1186215,1522488
China,Liuzhou,GX,636828,1043458,1410712
China,Luoyang,HEN,725360,1233775,1584463
China,Mianyang,SC,232035,782461,967007
China,Mudanjiang,HL,570273,672345,790623
China,Nanchang,JX,911872,1680756,2223661
China,Nanchong,SC,348201,621403,890402
China,"Nanjing (incl. Jiangning, Jiangpu, Luhe) [Nanking]",JS,2322947,4042337,5827888
China,Nanning (incl. Yongning),GX,817206,1667159,2660833
China,Nantong (incl. Tongzhou),JS,457388,1032414,1612385
China,Nanyang,HEN,228293,696638,899899
China,Ningbo (incl. Yinzhou),ZJ,753719,1696811,2583073
China,Pingdingshan,HEN,430841,871274,855130
China,Puning,GD,75593,646327,874954
China,Putian,FJ,131972,627124,1107199
China,Qingdao [Tsingtao],SD,1332074,2720972,3519919
China,Qingyuan (incl. Qingxin),GD,167892,350545,916453
China,Qinhuangdao,HEB,358006,718229,967877
China,Qiqihar,HL,1115298,1338587,1314720
China,Quanzhou,FJ,173571,764100,1154731
China,Rizhao,SD,248388,631562,902272
China,Rui'an,ZJ,230138,465230,927383
China,Shanghai,SH,7821787,14230992,20217748
China,"Shantou (incl. Chaoyang, Chenghai)",GD,1750256,3070364,3644017
China,Shenyang,LN,3650678,4596785,5718232
China,Shenzhen (incl. Bao'an),GD,1081621,6480340,10358381
China,Shijiazhuang,HEB,1077297,1935553,2770344
China,Shuangliu,SC,83529,155754,795123
China,Suqian,JS,97724,414408,783376
China,"Suzhou (incl. Wujiang, Wuzhong)",JS,872673,2160907,4083923
China,Tai'an,SD,366443,937761,1123541
China,Taiyuan,SX,1577640,2538336,3154157
China,Taizhou (Jiaojiang),ZJ,125306,1200809,1189276
China,"Tangshan (incl. Fengnan, Fengrun)",HEB,1088214,1660054,2128191
China,Tengzhou,SD,175562,506623,783473
China,Tianjin [Tientsin],TJ,4090643,6755403,9290263
China,Ürümqi (Wulumuqi) (incl. Miquan),XJ,1172018,1829555,2853398
China,Wanzhou (Wanxian),CQ,207055,574033,859662
China,Weifang,SD,392644,1263016,1261582
China,Wenzhou,ZJ,456319,1583387,2686825
